Flow|Table|Concat|ID
0|Suppliers_Extract.csv|0Suppliers_Extract.csv|0
0|Reftable_Supplier_Discount.csv|0Reftable_Supplier_Discount.csv|1
0|Preferred|0Preferred|2
0|ValidFrom|0ValidFrom|3
0|ValidTo|0ValidTo|4
0|Active|0Active|5
1|Suppliers_Extract.csv|1Suppliers_Extract.csv|6
1|Reftable_Supplier_Discount.csv|1Reftable_Supplier_Discount.csv|7
1|Preferred|1Preferred|8
1|ValidFrom|1ValidFrom|9
1|ValidTo|1ValidTo|10
1|Active|1Active|11
2|Suppliers_Extract.csv|2Suppliers_Extract.csv|12
2|Reftable_Supplier_Discount.csv|2Reftable_Supplier_Discount.csv|13
2|Preferred|2Preferred|14
2|ValidFrom|2ValidFrom|15
2|ValidTo|2ValidTo|16
2|Active|2Active|17
3|Suppliers_Extract.csv|3Suppliers_Extract.csv|18
3|Reftable_Supplier_Discount.csv|3Reftable_Supplier_Discount.csv|19
3|Preferred|3Preferred|20
3|ValidFrom|3ValidFrom|21
3|ValidTo|3ValidTo|22
3|Active|3Active|23
4|Suppliers_Extract.csv|4Suppliers_Extract.csv|24
4|Reftable_Supplier_Discount.csv|4Reftable_Supplier_Discount.csv|25
4|Preferred|4Preferred|26
4|ValidFrom|4ValidFrom|27
4|ValidTo|4ValidTo|28
4|Active|4Active|29
5|Suppliers_Extract.csv|5Suppliers_Extract.csv|30
5|Reftable_Supplier_Discount.csv|5Reftable_Supplier_Discount.csv|31
5|Preferred|5Preferred|32
5|ValidFrom|5ValidFrom|33
5|ValidTo|5ValidTo|34
5|Active|5Active|35
6|Suppliers_Extract.csv|6Suppliers_Extract.csv|36
6|Reftable_Supplier_Discount.csv|6Reftable_Supplier_Discount.csv|37
6|Preferred|6Preferred|38
6|ValidFrom|6ValidFrom|39
6|ValidTo|6ValidTo|40
6|Active|6Active|41
6|Suppliers_Extract|6Suppliers_Extract|42
7|Suppliers_Extract.csv|7Suppliers_Extract.csv|43
7|Reftable_Supplier_Discount.csv|7Reftable_Supplier_Discount.csv|44
7|Preferred|7Preferred|45
7|ValidFrom|7ValidFrom|46
7|ValidTo|7ValidTo|47
7|Active|7Active|48
7|Suppliers_Extract|7Suppliers_Extract|49
5|HC_001|5HC_001|50
5|HC_002|5HC_002|51
6|HC_001|6HC_001|52
6|HC_002|6HC_002|53
6|HC_003|6HC_003|54
